FileOpenedAction 1474026229616 SudokuVerifier.java 162 1 1 0
FileOpenedAction 1474026502842 SudokuVerifierParametrizedTest.java 172 1 1 0
FileOpenedAction 1474026504431 SudokuVerifierTest.java 390 1 1 0
RefactoringAction 1474026630488 SudokuVerifierTest.java RENAME testVerify()=>void testVerify_() METHOD
RefactoringAction 1474026633507 SudokuVerifierTest.java RENAME testVerify_()=>void testVerify_chara() METHOD
RefactoringAction 1474026636529 SudokuVerifierTest.java RENAME testVerify_chara()=>void testVerify_characters() METHOD
RefactoringAction 1474026637544 SudokuVerifierTest.java RENAME testVerify_characters()=>void testVerify_characters_() METHOD
RefactoringAction 1474026640062 SudokuVerifierTest.java RENAME testVerify_characters_()=>void testVerify_characters_should() METHOD
RefactoringAction 1474026641577 SudokuVerifierTest.java RENAME testVerify_characters_should()=>void testVerify_characters_should_() METHOD
RefactoringAction 1474026642594 SudokuVerifierTest.java RENAME testVerify_characters_should_()=>void testVerify_characters_should_be() METHOD
RefactoringAction 1474026644610 SudokuVerifierTest.java RENAME testVerify_characters_should_be()=>void testVerify_characters_should_be_81() METHOD
RefactoringAction 1474026685755 SudokuVerifierTest.java RENAME testVerify_characters_should_be_81()=>void testVerify_80characters_should_be_81() METHOD
RefactoringAction 1474026689765 SudokuVerifierTest.java RENAME testVerify_80characters_should_be_81()=>void testVerify_80characters_should_() METHOD
RefactoringAction 1474026692771 SudokuVerifierTest.java RENAME testVerify_80characters_should_()=>void testVerify_80characters_should_return() METHOD
RefactoringAction 1474026695281 SudokuVerifierTest.java RENAME testVerify_80characters_should_return()=>void testVerify_80characters_should_return FIELD
RefactoringAction 1474026699301 SudokuVerifierTest.java RENAME testVerify_80characters_should_return()=>void testVerify_80characters_should_return_() METHOD
RefactoringAction 1474026701320 SudokuVerifierTest.java RENAME testVerify_80characters_should_return_()=>void testVerify_80characters_should_return_error() METHOD
EditAction 1474026910942 SudokuVerifierTest.java 625 1 3 1
